Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2023-2024),2023-2024,2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,20713.48,19553.124,17519.854,21021.037,24237.16,26587.09,24147.563,23380.507,23638.319,21522.103,21338.281,19265.077,13749.566,11694.461,13224.157,11618.579,11872.541,14046.035,14919.505,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,24813.0,26045.127,26116.393,28137.158,28659.627,30174.979,29038.285,29944.001,29958.726,26728.98,26677.414,23534.75,19915.715,19697.63,21487.992,17897.135,17714.319,16355.533,17226.043,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,45434.48,44886.527,42733.99,48956.675,51865.746,55375.375,52937.105,52829.853,51967.645,45891.776,48026.123,42783.76,33322.946,31400.496,34712.149,29515.714,29586.86,30401.567,31504.842,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,72.0,72,72.1,76,75,76,74.9,73.4,75.9,75.2,78.8,78.5,69.4,61.6,64.4,63.7,51.6,69.9,72,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,767.88,732.56,675.71,809.58,948.18,1050.82,937.66,889.91,931.97,836.84,904.63,827.42,599.77,514.12,586.46,523.23,541.05,622.27,660.17,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,1052.07,1117.08,1135.49,1239.82,1244.12,1261.94,1148.61,1207.19,1231.61,1113.71,1216.16,1088.51,935.26,931.58,1025.58,868,870.25,778.23,791.55,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue,F7,Derived,Total income per property,$/property,,1684.32,1682.92,1648.18,1884.87,2030.12,2189.2,2128.95,2010.81,2048.87,1785.67,2036.07,1839.61,1454.24,1378.46,1538.36,1329.2,1348.81,1345.37,1393.33,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,0.0,0.0184,0.0088,No data,0.008,0.0071,0.0074,0,0.009,0.0086,0.01,0.0123,0.0131,0.0126,0.0147,0.0147,0.0172,0.0171,,,,0
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,,No data,290919.47,291214.635,285957.051,281743.499,275470.479,274906.137,268795.502,265303.421,269550.593,271157.06,271042.145,275492.251,272787.424,276665.847,274571.182,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,,No data,245174.238,246734.512,233761.041,235402.024,247184.518,244857.737,241680.959,234904.125,230341.338,222513.043,221391.161,220910.161,233673.964,233276.122,216418.592,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,493.53,410.57,304.24,351.79,426.15,394.66,359.07,334.92,348.42,354.99,398.87,439.15,401.22,392.24,388.56,398.62,411.5,359.19,364.96,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,657.49,604.39,577.86,502.5,578.85,521.81,485.29,482.23,502.98,503.64,559.2,585.09,607.99,579.96,557.57,375.75,486.18,519.87,486.61,,,
